"","N","Death","Hexp","MedRev"
"1","Ain",588306.233333333,259762.026938333,22978.75
"2","Aisne",527201.483333333,350568.563908333,19398.7166666667
"3","Allier",349282.883333333,231665.296778333,20076.5685185185
"4","Alpes-de-Haute-Provence",165100.85,86734.3041666667,20259.4833333333
"5","Hautes-Alpes",143460.983333333,80218.8658150497,20557.3944444444
"6","Alpes-Maritimes",1121895.68333333,578760.754863333,21815.6
"7","Ardèche",329280.916666667,178201.851970019,20480.1825396825
"8","Ardennes",271146.216666667,213826.026273333,19358.9222222222
"9","Ariège",158867.366666667,109208.3095,19516.6
"10","Aube",297794.083333333,196906.4595,20147.5
"11","Aude",373138.85,303665.325166667,18966.5384615385
"12","Aveyron",282451.166666667,173166.331435,20379.9637681159
"13","Bouches-du-Rhône",2022545.16666667,1376890.50050667,21138.4285714286
"14","Calvados",697348.766666667,386801.489913333,21185.3666666667
"15","Cantal",152049.916666667,91882.2973166667,20175.7015873016
"16","Charente",350838.883333333,216971.41119,20417.2275956284
"17","Charente-Maritime",677592.283333333,380413.102361667,20968.6666666667
"18","Cher",304616.783333333,205621.871948333,20579.0833333333
"19","Corrèze",249237.6,143498.547433333,20685.7972222222
"20","Côte-d'Or",521918.733333333,282493.900646667,19628.5324786325
"21","Côtes-d'Armor",625425.95,321247.390925,20045.75
"22","Creuse",122084.783333333,97342.8414533333,21726.1166666667
"23","Dordogne",419762.3,252717.963473333,20596.1055555556
"24","Doubs",529304.383333333,292413.889505,21524.6055555556
"25","Drôme",509467.05,308367.7755854,21582.3444444444
"26","Eure",580845.566666667,287970.72872,21352.0555555556
"27","Eure-et-Loir",419545.583333333,227914.746153333,21253.2277777778
"28","Finistère",934809,513994.446886667,19830.6222222222
"29","Gard",749989.45,497355.236,19765.487037037
"30","Haute-Garonne",1310360.63333333,805498.611878333,22828.7222222222
"31","Gers",190608.466666667,141487.836175767,20480.7038461538
"32","Gironde",1601679.21666667,951217.079918333,22060.6666666667
"33","Hérault",1160243.81666667,795656.959585,20140.6666666667
"34","Ille-et-Vilaine",1038460.85,561101.6025,21851.6666666667
"35","Indre",226335.733333333,121173.771601667,19928.3666666667
"36","Indre-et-Loire",606677.45,314848.568891667,21475.45
"37","Isère",1233934.9,654735.997333333,22562.8907407407
"38","Jura",261384.333333333,138199.330266667,21409.1611111111
"39","Landes",420999.933333333,221202.107166667,21092.141025641
"40","Loir-et-Cher",331672.716666667,197681.052385,21070.5571428571
"41","Loire",765598.366666667,447317.211005,20487.7666666667
