"","N","y2018"
"1","Ain",587766.6
"2","Aisne",525120.3
"3","Allier",348473
"4","Alpes-de-Haute-Provence",165514.2
"5","Hautes-Alpes",142506.9
"6","Alpes-Maritimes",1119776.3
"7","Ardèche",330754.8
"8","Ardennes",270271.5
"9","Ariège",162044.5
"10","Aube",297662.7
"11","Aude",374123.2
"12","Aveyron",281566.5
"13","Bouches-du-Rhône",2028865.7
"14","Calvados",697983.7
"15","Cantal",151542.5
"16","Charente",350244.1
"17","Charente-Maritime",678914.4
"18","Cher",302471.4
"19","Corrèze",246554.3
"20","Côte-d'Or",523485.8
"21","Côtes-d'Armor",623712.8
"22","Creuse",120822.5
"23","Dordogne",418174.5
"24","Doubs",530064.2
"25","Drôme",509835.3
"26","Eure",579802.6
"27","Eure-et-Loir",418364.4
"28","Finistère",933512.1
"29","Gard",751904.4
"30","Haute-Garonne",1319587.6
"31","Gers",190044.9
"32","Gironde",1616606.1
"33","Hérault",1166145.5
"34","Ille-et-Vilaine",1044175.8
"35","Indre",224582.6
"36","Indre-et-Loire",607516.2
"37","Isère",1237277.3
"38","Jura",260804.8
"39","Landes",421255
"40","Loir-et-Cher",330164.5
"41","Loire",762576.3
"42","Haute-Loire",229854.7
"43","Loire-Atlantique",1377985.5
"44","Loiret",651445.3
"45","Lot",175675.7
"46","Lot-et-Garonne",330495.1
"47","Lozère",75314.4
"48","Maine-et-Loire",795506.9
"49","Manche",506764
"50","Marne",550992.8
"51","Haute-Marne",175621.7
"52","Mayenne",301246.2
"53","Meurthe-et-Moselle",681754.2
"54","Meuse",176382.6
"55","Morbihan",782593.5
"56","Moselle",935832.6
"57","Nièvre",210060.9
"58","Nord",2525081.2
"59","Oise",791393.1
"60","Orne",279933.6
"61","Pas-de-Calais",1465349.4
"62","Puy-de-Dôme",658865
"63","Pyrénées-Atlantiques",680416.3
"64","Hautes-Pyrénées",234784.4
"65","Pyrénées-Orientales",491983
"66","Bas-Rhin",1114484.5
"67","Haut-Rhin",727004.6
"68","Rhône",1769257.9
"69","Haute-Saône",236703.3
"70","Saône-et-Loire",553984.7
"71","Sarthe",560764.3
"72","Savoie",423846.8
"73","Haute-Savoie",746777.9
"74","Paris",2127728.6
"75","Seine-Maritime",1244812.4
"76","Seine-et-Marne",1312035.3
"77","Yvelines",1369408.3
"78","Deux-Sèvres",371384.8
"79","Somme",572871.5
"80","Tarn",396945.2
"81","Tarn-et-Garonne",257515.1
"82","Var",1115075.4
"83","Vaucluse",568604.9
"84","Vendée",690164.9
"85","Vienne",429705.4
"86","Haute-Vienne",383444.9
"87","Vosges",363142
"88","Yonne",330372
"89","Territoire de Belfort",135603.2
"90","Essonne",1217547.4
"91","Hauts-de-Seine",1500028.9
"92","Seine-Saint-Denis",1437654.3
"93","Val-de-Marne",1287296.9
"94","Val-d'Oise",1146775.5
"95","Guadeloupe",355791.7
"96","Martinique",328593.7
"97","Guyane",170111.6
"98","La Réunion",825211.4
"99","Mayotte",87011.6
